ROW,ID,DESC,UPC,MIN,WUP
1,416497122-3,CRAS NON VELIT NEC NISI VULPUTATE NONUMMY. MAECENAS TINCIDUNT LACUS AT VELIT. VIVAMUS VEL NULLA EGET EROS ELEMENTUM PELLENTESQUE.,386-69-2930,9,$59.86
2,149115818-2,PRAESENT ID MASSA ID NISL VENENATIS LACINIA. AENEAN SIT AMET JUSTO. MORBI UT ODIO.,224-67-9608,8,$92.90
3,169191843-1,"MAURIS ENIM LEO, RHONCUS SED, VESTIBULUM SIT AMET, CURSUS ID, TURPIS. INTEGER ALIQUET, MASSA ID LOBORTIS CONVALLIS, TORTOR RISUS DAPIBUS AUGUE, VEL ACCUMSAN TELLUS NISI EU ORCI. MAURIS LACINIA SAPIEN QUIS LIBERO.",720-66-7366,7,$33.17
4,988580224-X,"PROIN INTERDUM MAURIS NON LIGULA PELLENTESQUE ULTRICES. PHASELLUS ID SAPIEN IN SAPIEN IACULIS CONGUE. VIVAMUS METUS ARCU, ADIPISCING MOLESTIE, HENDRERIT AT, VULPUTATE VITAE, NISL.",853-12-2211,1,$68.19
5,763122640-7,CRAS NON VELIT NEC NISI VULPUTATE NONUMMY. MAECENAS TINCIDUNT LACUS AT VELIT. VIVAMUS VEL NULLA EGET EROS ELEMENTUM PELLENTESQUE.,408-48-8973,8,$68.87
6,573052739-X,MAECENAS UT MASSA QUIS AUGUE LUCTUS TINCIDUNT. NULLA MOLLIS MOLESTIE LOREM. QUISQUE UT ERAT.,363-97-5396,7,$37.91
7,967475743-0,CRAS NON VELIT NEC NISI VULPUTATE NONUMMY. MAECENAS TINCIDUNT LACUS AT VELIT. VIVAMUS VEL NULLA EGET EROS ELEMENTUM PELLENTESQUE.,932-44-8406,9,$47.27
8,096768477-3,"IN HAC HABITASSE PLATEA DICTUMST. MORBI VESTIBULUM, VELIT ID PRETIUM IACULIS, DIAM ERAT FERMENTUM JUSTO, NEC CONDIMENTUM NEQUE SAPIEN PLACERAT ANTE. NULLA JUSTO.",997-46-9995,7,$21.45
9,496099954-3,DUIS CONSEQUAT DUI NEC NISI VOLUTPAT ELEIFEND. DONEC UT DOLOR. MORBI VEL LECTUS IN QUAM FRINGILLA RHONCUS.,806-65-3439,7,$73.70
10,420842976-3,"CURABITUR IN LIBERO UT MASSA VOLUTPAT CONVALLIS. MORBI ODIO ODIO, ELEMENTUM EU, INTERDUM EU, TINCIDUNT IN, LEO. MAECENAS PULVINAR LOBORTIS EST.",747-42-9606,10,$65.83
11,827230184-9,IN QUIS JUSTO. MAECENAS RHONCUS ALIQUAM LACUS. MORBI QUIS TORTOR ID NULLA ULTRICES ALIQUET.,446-16-9919,8,$30.02
12,834508354-4,"SED SAGITTIS. NAM CONGUE, RISUS SEMPER PORTA VOLUTPAT, QUAM PEDE LOBORTIS LIGULA, SIT AMET ELEIFEND PEDE LIBERO QUIS ORCI. NULLAM MOLESTIE NIBH IN LECTUS.",501-95-1148,1,$36.78
13,355831319-4,"NAM ULTRICES, LIBERO NON MATTIS PULVINAR, NULLA PEDE ULLAMCORPER AUGUE, A SUSCIPIT NULLA ELIT AC NULLA. SED VEL ENIM SIT AMET NUNC VIVERRA DAPIBUS. NULLA SUSCIPIT LIGULA IN LACUS.",578-15-9390,8,$68.57
14,016912673-0,IN HAC HABITASSE PLATEA DICTUMST. ETIAM FAUCIBUS CURSUS URNA. UT TELLUS.,467-00-4253,5,$42.21
15,215700262-6,"AENEAN FERMENTUM. DONEC UT MAURIS EGET MASSA TEMPOR CONVALLIS. NULLA NEQUE LIBERO, CONVALLIS EGET, ELEIFEND LUCTUS, ULTRICIES EU, NIBH.",648-65-8427,1,$14.89
16,035621860-0,CRAS NON VELIT NEC NISI VULPUTATE NONUMMY. MAECENAS TINCIDUNT LACUS AT VELIT. VIVAMUS VEL NULLA EGET EROS ELEMENTUM PELLENTESQUE.,553-54-1735,6,$26.40
17,137642790-7,"CURABITUR GRAVIDA NISI AT NIBH. IN HAC HABITASSE PLATEA DICTUMST. ALIQUAM AUGUE QUAM, SOLLICITUDIN VITAE, CONSECTETUER EGET, RUTRUM AT, LOREM.",736-42-9643,6,$48.72
18,008861022-5,"QUISQUE ID JUSTO SIT AMET SAPIEN DIGNISSIM VESTIBULUM. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; NULLA DAPIBUS DOLOR VEL EST. DONEC ODIO JUSTO, SOLLICITUDIN UT, SUSCIPIT A, FEUGIAT ET, EROS.",115-40-5197,7,$62.90
19,030285079-1,"IN SAGITTIS DUI VEL NISL. DUIS AC NIBH. FUSCE LACUS PURUS, ALIQUET AT, FEUGIAT NON, PRETIUM QUIS, LECTUS.",614-51-6260,6,$82.95
20,834185407-4,DUIS BIBENDUM. MORBI NON QUAM NEC DUI LUCTUS RUTRUM. NULLA TELLUS.,314-29-5525,3,$57.35
21,798399626-8,IN HAC HABITASSE PLATEA DICTUMST. ETIAM FAUCIBUS CURSUS URNA. UT TELLUS.,539-88-4701,1,$27.74
22,497065100-0,"IN HAC HABITASSE PLATEA DICTUMST. MORBI VESTIBULUM, VELIT ID PRETIUM IACULIS, DIAM ERAT FERMENTUM JUSTO, NEC CONDIMENTUM NEQUE SAPIEN PLACERAT ANTE. NULLA JUSTO.",160-00-1705,4,$44.90
23,834065676-7,SUSPENDISSE POTENTI. IN ELEIFEND QUAM A ODIO. IN HAC HABITASSE PLATEA DICTUMST.,329-75-4328,8,$38.43
24,147208741-0,"MAECENAS LEO ODIO, CONDIMENTUM ID, LUCTUS NEC, MOLESTIE SED, JUSTO. PELLENTESQUE VIVERRA PEDE AC DIAM. CRAS PELLENTESQUE VOLUTPAT DUI.",506-15-1359,4,$89.75
25,770566209-4,CRAS NON VELIT NEC NISI VULPUTATE NONUMMY. MAECENAS TINCIDUNT LACUS AT VELIT. VIVAMUS VEL NULLA EGET EROS ELEMENTUM PELLENTESQUE.,867-65-2610,1,$62.65
26,755949427-7,"CRAS MI PEDE, MALESUADA IN, IMPERDIET ET, COMMODO VULPUTATE, JUSTO. IN BLANDIT ULTRICES ENIM. LOREM IPSUM DOLOR SIT AMET, CONSECTETUER ADIPISCING ELIT.",338-70-3813,4,$5.35
27,564123157-6,"CURABITUR AT IPSUM AC TELLUS SEMPER INTERDUM. MAURIS ULLAMCORPER PURUS SIT AMET NULLA. QUISQUE ARCU LIBERO, RUTRUM AC, LOBORTIS VEL, DAPIBUS AT, DIAM.",655-58-1335,6,$96.72
28,308033742-5,SUSPENDISSE POTENTI. IN ELEIFEND QUAM A ODIO. IN HAC HABITASSE PLATEA DICTUMST.,237-95-1362,9,$39.59
29,103743316-5,DUIS CONSEQUAT DUI NEC NISI VOLUTPAT ELEIFEND. DONEC UT DOLOR. MORBI VEL LECTUS IN QUAM FRINGILLA RHONCUS.,705-11-4615,9,$39.93
30,374948467-8,PHASELLUS IN FELIS. DONEC SEMPER SAPIEN A LIBERO. NAM DUI.,470-55-4490,6,$32.45
31,319739914-5,DUIS BIBENDUM. MORBI NON QUAM NEC DUI LUCTUS RUTRUM. NULLA TELLUS.,790-33-3990,3,$98.58
32,412586244-3,INTEGER AC LEO. PELLENTESQUE ULTRICES MATTIS ODIO. DONEC VITAE NISI.,712-04-6943,3,$23.34
33,593294730-6,SED ANTE. VIVAMUS TORTOR. DUIS MATTIS EGESTAS METUS.,967-00-3222,4,$78.43
34,270325111-4,IN HAC HABITASSE PLATEA DICTUMST. ETIAM FAUCIBUS CURSUS URNA. UT TELLUS.,171-93-8155,8,$0.86
35,499521634-0,"QUISQUE ID JUSTO SIT AMET SAPIEN DIGNISSIM VESTIBULUM. VESTIBULUM ANTE IPSUM PRIMIS IN FAUCIBUS ORCI LUCTUS ET ULTRICES POSUERE CUBILIA CURAE; NULLA DAPIBUS DOLOR VEL EST. DONEC ODIO JUSTO, SOLLICITUDIN UT, SUSCIPIT A, FEUGIAT ET, EROS.",980-74-3580,5,$76.56
36,222200482-9,"IN SAGITTIS DUI VEL NISL. DUIS AC NIBH. FUSCE LACUS PURUS, ALIQUET AT, FEUGIAT NON, PRETIUM QUIS, LECTUS.",662-54-5325,4,$36.81
37,706320021-6,MAECENAS UT MASSA QUIS AUGUE LUCTUS TINCIDUNT. NULLA MOLLIS MOLESTIE LOREM. QUISQUE UT ERAT.,806-13-6398,7,$69.69
38,204224862-2,"FUSCE POSUERE FELIS SED LACUS. MORBI SEM MAURIS, LAOREET UT, RHONCUS ALIQUET, PULVINAR SED, NISL. NUNC RHONCUS DUI VEL SEM.",290-63-6938,9,$90.18
39,030316872-2,INTEGER AC LEO. PELLENTESQUE ULTRICES MATTIS ODIO. DONEC VITAE NISI.,522-81-4405,7,$2.87
40,643634646-5,"CRAS MI PEDE, MALESUADA IN, IMPERDIET ET, COMMODO VULPUTATE, JUSTO. IN BLANDIT ULTRICES ENIM. LOREM IPSUM DOLOR SIT AMET, CONSECTETUER ADIPISCING ELIT.",352-73-9793,1,$40.49
41,833765811-8,SUSPENDISSE POTENTI. IN ELEIFEND QUAM A ODIO. IN HAC HABITASSE PLATEA DICTUMST.,124-22-8633,10,$37.73
42,228203074-5,"IN HAC HABITASSE PLATEA DICTUMST. MORBI VESTIBULUM, VELIT ID PRETIUM IACULIS, DIAM ERAT FERMENTUM JUSTO, NEC CONDIMENTUM NEQUE SAPIEN PLACERAT ANTE. NULLA JUSTO.",480-69-2042,4,$46.38
43,902642639-9,"DUIS BIBENDUM, FELIS SED INTERDUM VENENATIS, TURPIS ENIM BLANDIT MI, IN PORTTITOR PEDE JUSTO EU MASSA. DONEC DAPIBUS. DUIS AT VELIT EU EST CONGUE ELEMENTUM.",121-64-1892,7,$66.80
44,563226954-X,DUIS ALIQUAM CONVALLIS NUNC. PROIN AT TURPIS A PEDE POSUERE NONUMMY. INTEGER NON VELIT.,367-91-7552,2,$3.86
45,957336547-2,SED ANTE. VIVAMUS TORTOR. DUIS MATTIS EGESTAS METUS.,929-27-8341,1,$1.63
46,348415468-3,"IN HAC HABITASSE PLATEA DICTUMST. MORBI VESTIBULUM, VELIT ID PRETIUM IACULIS, DIAM ERAT FERMENTUM JUSTO, NEC CONDIMENTUM NEQUE SAPIEN PLACERAT ANTE. NULLA JUSTO.",479-53-3433,10,$21.59
47,411886875-X,INTEGER AC LEO. PELLENTESQUE ULTRICES MATTIS ODIO. DONEC VITAE NISI.,342-22-1367,10,$90.30
48,164647749-9,NULLA UT ERAT ID MAURIS VULPUTATE ELEMENTUM. NULLAM VARIUS. NULLA FACILISI.,429-78-0233,10,$99.80
49,980186647-0,"CURABITUR GRAVIDA NISI AT NIBH. IN HAC HABITASSE PLATEA DICTUMST. ALIQUAM AUGUE QUAM, SOLLICITUDIN VITAE, CONSECTETUER EGET, RUTRUM AT, LOREM.",535-02-1426,4,$18.30
50,753767625-9,"PROIN LEO ODIO, PORTTITOR ID, CONSEQUAT IN, CONSEQUAT UT, NULLA. SED ACCUMSAN FELIS. UT AT DOLOR QUIS ODIO CONSEQUAT VARIUS.",774-31-6800,6,$42.55
